name,price,category,store,features
Stratocaster Electric Guitar,799.99,Electrics,Fender,single-coil pickups; rosewood fretboard; classic twang; versatile clean tones
Les Paul Electric Guitar,1799.99,Electrics,Gibson,humbucker pickups; mahogany body; warm thick sustain; rock tone
Telecaster Electric Guitar,699.99,Electrics,Fender,two single-coils; bright twang; country and blues classic
Acoustic Dreadnought Guitar,499.99,Acoustics,Taylor,spruce top; warm resonant projection; singer-songwriter favorite
Classical Nylon Guitar,329.99,Acoustics,Yamaha,nylon strings; mellow tone; fingerstyle and flamenco
Distortion Pedal,79.99,Effects,Boss,hard rock distortion; legendary DS-1; scooped mids
Overdrive Pedal,119.99,Effects,Ibanez,vintage tube screamer; warm mid boost; blues lead tone
Fuzz Pedal,89.99,Effects,Behringer,classic silicon fuzz; heavy sustain; psychedelic rock
Chorus Pedal,99.99,Effects,TC Electronic,spacious modulation; shimmering width; ambient cleans
Instrument Cable 10ft,14.99,Cables,Fender,straight to right angle; braided shield; quiet signal
Instrument Cable 20ft,24.99,Cables,Monster,20 feet; gold connectors; studio quality
Guitar Strings 10-46,6.99,Strings,Ernie Ball,regular slinky; nickel wound; bright punchy tone
Guitar Strings 11-49,7.99,Strings,D'Addario,NYXL medium gauge; tuning stability; enhanced midrange
Nylon Guitar Strings,9.99,Strings,D'Addario,classical nylon; warm mellow; fingerstyle
Clip-On Tuner,12.99,Tuners,Snark,clips on headstock; vibration sensing; fast tuning
Pedal Tuner,99.99,Tuners,TC Electronic,true bypass; strobe accuracy; stage ready
30W Combo Amplifier,249.99,Amps,Marshall,30 watts; overdrive channel; classic British crunch
15W Practice Amplifier,129.99,Amps,Fender,15 watts; clean sparkle; bedroom volume
100W Head Amplifier,899.99,Amps,Mesa Boogie,100 watts; high gain; dual rectifier
Bluetooth Speaker,199.99,Audio,JBL,portable speaker; deep bass; waterproof
Studio Headphones,149.99,Audio,Sennheiser,closed back; flat response; mixing
Dynamic Microphone,99.99,Audio,Shure,SM57; cardioid; instrument miking
Audio Interface,169.99,Audio,Focusrite,2 inputs; USB; recording interface
Guitar Capo,17.99,Accessories,D'Addario,quick release; spring loaded; precise tuning
Guitar Stand,24.99,Accessories,Hercules,foldable; rubber coated; stable
Guitar Case Hard,129.99,Accessories,Gator,molded hard case; plush interior; tour ready
